ADFE	ሰደግኤን
AFP	AFP
Abdul Aziz al-Rantissi	ኣብዱል ዓዚዝ ኣል - ራንቲዚ
Abe	ዓቤ
Addi Caieh	ዓዲ ቐይሕ
Addi Qeyh	ዓዲ ቐይሕ
Addis Ababa	ኣዲስ ኣበባ
Adi Caie	ዓዲ ቐይሕ
Adi Ciah	ዓዲ ቐይሕ
Adi Kaie	ዓዲ ቐይሕ
Adi Keih	ዓዲ ቐይሕ
Adi Keyh	ዓዲ ቐይሕ
Adi Keyih	ዓዲ ቐይሕ
Adi Quala	ዓዲ ዃላ
Ado Ugri	መንደፈራ
Aegean Sea	ኤጅያዊ ባሕርን
Afghanistan	ኣፍጋኒስታን
Africa	ኣፍሪቃ
African Union	ሕብረት ኣፍሪካ
African Union	ኣፍሪቃዊ ሕብረት
Afwerki Isaias	ኢሰያስ
Agence France-Presse	AFP
Agordat	ኣቆርዳት
Ak'ordat	ኣቆርዳት
Akordat	ኣቆርዳት
Aksum	ኣክሱም
Al Jazeera	ኣልጀዚራ
Al-Azhar Islamic University	ኣል ዛሃር ኢስላሚክ ዩኒቨርስቲ
Al-Shabaab	ኣልሸባብ
Al-Shabab	ኣልሸባብ
Al-Sheikh	ኣል ሸይቕ
Allan Gotlieb	ኣላን ጎትሊያብ
Amazon	ኣማዞን
Amazonia	አማዞናዊያ
America	ኣሜሪካ
American University	አሜሪካን ዩኒቨርስቲ
Amharic	ኣምሓረኛ ፊደል
Amman	ኣማን
Amnesty International	ኣምነስቲ ኢንተርናሽናል
Amsterdam	ኣምስተርዳም
Andrea Mitchell	ኣንድራ ሚቼል
Anseba Region	ዓንሰባ
Anseba Region	ዞባ ዓንሰባ
Anseba River	ኣንሰባ
Antarctica	ኣንታርክቲካ
Arab University of Beirut	ኣዕራብ ዩኒቨርስቲን ናይ ቤይሩት
Arafat	ዓረፋት
Areza	ዓረዛ
Ariel Sharon	ኤሪያል ሻሮን
Aseb	ዓሰብ
Asia	ኤስያ
Asmara	ኣስመራ
Assab	ዓሰብ
Assab	ዓሰብ
Associated Press	ኣሶሼትድ ፕረስ
Atlantic	ኣትላንቲክ
Baghdad	ባቕዳድ
Bangladesh	ባንግላዴሽ
Bani Walid	በኒ ወሊድ
Barack Obama	በራክ ኦባማ
Barcelona	ባርሴሎና
Beijing	ቤይጂንግ
Beit Hanoun	ቤት ሃኑን
Bekele Gerba	በቀለ ገርባ
Belgium	በልጁም
Bernard Aronson	በርናርድ አሮንሰን
Bill Clinton	ክሊንተን
Bombay	ቦምቤ
Brazil	ብራዚል
